,0,1,2,3,4,5
0,-1.2077345848083496,-1.2077356576919556,-2.4154701232910156,8.0,8.0,8.0
1,-0.5385139584541321,-0.5385141968727112,-1.0770281553268433,13.0,13.0,13.0
2,-1.766179084777832,-1.7661794424057007,-3.5323586463928223,2.0,2.0,2.0
3,-1.3258017301559448,-1.3258024454116821,-2.651604175567627,5.0,5.0,5.0
4,2.9454143047332764,2.9454174041748047,5.89083194732666,30.0,30.0,30.0
5,3.0319294929504395,3.0319299697875977,6.063859462738037,31.0,31.0,31.0
6,-0.9160402417182922,-0.91604083776474,-1.8320810794830322,12.0,12.0,12.0
7,1.2805941104888916,1.2805942296981812,2.561188220977783,25.0,25.0,25.0
8,-1.096242070198059,-1.096243143081665,-2.1924853324890137,10.0,10.0,10.0
9,-1.186962366104126,-1.186963438987732,-2.3739256858825684,9.0,9.0,9.0
10,1.0646802186965942,1.0646803379058838,2.1293606758117676,23.0,23.0,23.0
11,-1.276258945465088,-1.2762593030929565,-2.552518367767334,6.0,6.0,6.0
12,-1.2644885778427124,-1.2644896507263184,-2.5289783477783203,7.0,7.0,7.0
13,0.8432439565658569,0.8432450890541077,1.6864891052246094,22.0,22.0,22.0
14,0.4078684449195862,0.4078691601753235,0.8157376050949097,19.0,19.0,19.0
15,0.15185077488422394,0.1518508642911911,0.30370163917541504,17.0,17.0,17.0
16,1.8655043840408325,1.8655034303665161,3.7310078144073486,28.0,28.0,28.0
17,1.2998391389846802,1.2998394966125488,2.5996785163879395,26.0,26.0,26.0
18,-1.6738661527633667,-1.67386794090271,-3.347733974456787,3.0,3.0,3.0
19,0.7818018198013306,0.781802237033844,1.5636041164398193,20.0,20.0,20.0
20,1.2271323204040527,1.2271331548690796,2.454265594482422,24.0,24.0,24.0
21,1.8332246541976929,1.833225131034851,3.666449785232544,27.0,27.0,27.0
22,0.7950336933135986,0.7950338125228882,1.5900675058364868,21.0,21.0,21.0
23,-0.9881226420402527,-0.9881231188774109,-1.9762457609176636,11.0,11.0,11.0
24,-1.8321353197097778,-1.8321362733840942,-3.664271593093872,1.0,1.0,1.0
25,-0.45813101530075073,-0.4581311345100403,-0.916262149810791,15.0,15.0,15.0
26,-0.5040518045425415,-0.5040528178215027,-1.0081045627593994,14.0,14.0,14.0
27,-0.40709763765335083,-0.4070984423160553,-0.8141961097717285,16.0,16.0,16.0
28,-1.4076454639434814,-1.40764582157135,-2.815291404724121,4.0,4.0,4.0
29,1.9355229139328003,1.9355220794677734,3.8710451126098633,29.0,29.0,29.0
30,0.2499070018529892,0.24990755319595337,0.49981456995010376,18.0,18.0,18.0
31,-1.8642771244049072,-1.8642785549163818,-3.728555679321289,0.0,0.0,0.0
