,Condition,Alternative_1,Alternative_2,Alternative_3,Alternative_4,Label,Prediction,Case
752,26,16,20,21,31,16,16,0
753,19,0,6,11,20,20,20,0
754,5,20,25,26,29,25,20,0
755,22,13,15,25,28,15,15,0
756,10,12,18,26,31,26,26,3
757,22,2,3,5,19,5,5,0
758,31,11,16,19,30,30,30,4
759,28,7,12,13,14,7,7,3
760,26,16,17,24,28,28,28,0
761,31,5,11,29,30,11,11,0
762,25,3,6,24,31,6,6,3
763,11,1,4,12,22,4,4,1
764,28,6,10,19,21,19,10,0
765,26,12,13,15,16,13,13,2
766,11,3,9,10,12,9,9,0
767,11,1,2,22,25,2,2,1
768,24,0,1,21,28,28,28,4
769,0,14,17,26,31,14,14,0
770,9,3,8,29,30,29,29,0
771,14,4,10,16,31,10,10,0
772,13,3,7,19,20,20,20,1
773,6,10,21,23,24,10,10,0
774,15,5,23,28,31,5,5,0
775,28,6,17,19,22,19,19,0
776,21,3,12,21,22,21,21,0
777,16,4,13,15,16,13,13,0
778,14,5,14,15,26,14,14,0
779,1,6,9,16,26,6,6,4
780,22,1,13,15,19,15,15,0
781,17,2,10,17,27,10,10,0
782,8,4,11,27,29,11,11,0
783,7,6,12,13,20,20,20,0
784,13,5,11,22,24,5,5,3
785,23,0,6,14,18,6,0,0
786,24,3,9,17,29,3,3,2
787,27,1,15,24,25,25,25,0
788,8,15,18,24,25,25,25,0
789,4,2,6,9,27,27,27,0
790,17,3,9,22,27,22,22,0
791,5,3,25,27,28,27,27,0
792,5,1,3,5,7,5,5,0
793,16,1,11,19,21,11,11,0
794,25,6,7,12,15,7,7,0
795,6,0,9,17,21,21,21,2
796,26,3,5,10,12,10,10,0
797,13,4,12,16,19,4,4,0
798,10,8,20,28,29,20,29,3
799,6,0,1,3,8,1,8,0
800,22,0,4,14,29,0,0,0
801,0,2,10,11,17,11,10,0
802,23,2,8,11,30,30,30,3
803,27,0,1,18,31,18,1,0
804,2,2,5,7,27,2,5,1
805,7,8,15,25,26,15,26,0
806,9,6,16,25,31,16,16,0
807,9,8,9,17,28,17,17,3
808,18,6,9,12,25,25,25,0
809,10,0,9,12,17,17,17,0
810,0,2,8,18,24,8,8,0
811,11,8,9,10,20,20,20,1
812,16,7,13,15,29,13,13,0
813,20,4,7,16,30,7,7,0
814,13,1,10,23,31,31,31,1
815,26,1,9,21,24,21,1,3
816,26,11,18,25,28,28,25,3
817,16,18,21,23,24,18,18,0
818,17,4,7,8,21,8,8,0
819,8,4,20,27,28,28,28,0
820,26,6,13,24,31,13,6,0
821,11,5,13,21,31,21,5,0
822,4,6,21,24,29,6,6,3
823,21,1,2,15,21,21,21,0
824,23,5,22,25,29,25,5,0
825,14,0,16,17,25,25,25,2
826,11,16,20,21,29,20,21,1
827,27,0,1,2,22,22,22,0
828,4,1,2,4,12,1,1,0
829,23,7,14,19,25,14,14,1
830,5,3,9,22,30,30,30,0
831,27,0,9,28,30,30,30,0
832,6,5,16,21,29,21,21,0
833,3,1,2,24,31,1,1,0
834,16,15,22,23,29,22,22,0
835,23,2,10,23,24,10,10,0
836,31,8,9,16,18,8,8,0
837,14,2,4,9,28,28,28,0
838,10,7,11,12,16,16,16,0
839,15,0,1,10,17,17,17,0
840,7,1,5,8,25,5,5,0
841,3,6,7,15,17,7,7,0
842,14,1,4,8,18,18,18,0
843,15,0,14,16,26,26,26,0
844,18,6,7,16,30,7,7,0
845,2,0,7,15,25,15,15,1
846,1,1,6,12,24,24,24,0
847,12,4,14,29,31,4,4,1
848,21,10,19,25,29,29,29,0
849,9,6,14,15,18,15,15,0
850,11,20,21,22,23,23,21,1
851,3,2,5,21,29,21,29,0
852,29,11,16,21,24,16,16,3
853,16,1,5,8,14,8,8,0
854,5,7,12,14,27,14,14,0
855,29,1,22,28,31,1,1,0
856,5,0,6,14,20,0,20,0
857,6,17,27,28,31,28,28,0
858,24,4,9,20,29,29,4,0
859,16,0,7,9,10,10,10,4
860,8,0,24,29,31,24,24,0
861,27,1,16,24,26,1,16,0
862,29,2,13,25,31,2,2,3
863,4,3,16,18,20,16,16,3
864,19,6,17,20,30,30,30,0
865,22,3,13,23,29,29,29,0
866,22,0,3,15,30,0,0,0
867,20,7,10,16,22,22,22,0
868,7,4,10,23,25,4,4,1
869,29,14,17,20,25,20,20,0
870,31,5,18,25,29,25,5,0
871,5,6,9,19,30,30,30,0
872,1,4,5,17,31,5,4,4
873,25,0,12,23,28,0,0,0
874,11,12,17,25,29,17,17,0
875,9,5,12,14,24,5,5,0
876,7,2,24,26,31,2,26,0
877,6,0,7,9,30,7,7,2
878,5,3,4,14,26,26,26,1
879,6,11,21,24,29,11,29,3
880,30,4,12,15,17,4,4,0
881,22,4,18,21,30,21,4,0
882,11,2,4,13,31,4,4,0
883,16,14,18,25,28,18,18,0
884,30,14,16,23,30,16,16,0
885,25,13,16,17,20,16,16,0
886,9,3,9,15,30,9,9,0
887,13,3,8,11,18,11,11,3
888,4,7,9,20,23,7,7,0
889,20,1,9,24,25,24,24,0
890,0,8,9,12,15,8,8,0
891,0,1,2,5,18,1,1,0
892,17,6,12,25,27,25,25,0
893,13,7,8,9,10,9,9,0
894,15,4,10,13,17,17,17,1
895,26,18,19,20,23,19,19,0
896,20,6,17,24,27,24,24,0
897,27,3,11,20,26,26,20,3
898,9,5,10,14,19,5,5,1
899,30,6,10,13,31,31,6,3
900,23,7,18,19,29,29,29,0
901,12,4,16,17,31,4,17,0
902,21,1,3,16,31,16,16,0
903,22,2,17,24,30,2,30,0
904,27,13,19,28,29,19,19,0
905,12,2,10,13,19,19,19,0
906,3,5,11,27,31,11,27,0
907,30,7,17,20,21,20,20,0
908,7,3,12,13,21,21,21,0
909,7,14,21,25,30,30,21,0
910,5,5,8,14,19,14,5,0
911,1,2,6,11,15,11,11,0
912,18,2,16,18,25,18,25,0
913,24,5,16,21,23,21,21,0
914,25,9,19,22,25,19,19,3
915,28,9,13,15,17,9,13,0
916,31,19,22,26,31,22,26,4
917,9,5,22,24,28,5,5,0
918,28,25,29,30,31,29,29,0
919,27,11,16,21,27,16,16,3
920,2,3,7,17,28,17,17,1
921,3,4,6,11,31,11,11,0
922,12,5,11,24,30,5,5,0
923,14,3,15,22,28,22,22,0
924,15,5,7,12,18,5,5,0
925,1,4,8,13,25,25,13,0
926,17,7,8,12,13,8,13,0
927,15,20,24,25,28,20,20,0
928,28,5,8,23,31,5,5,0
929,23,4,9,30,31,30,4,0
930,19,1,14,15,25,1,15,0
931,27,4,5,11,30,30,30,0
932,12,10,14,21,23,21,21,1
933,3,2,15,22,23,22,22,0
934,27,9,17,18,27,17,27,0
935,1,3,17,23,26,3,3,4
936,4,1,15,19,31,19,19,0
937,0,1,16,24,30,30,30,0
938,27,0,4,10,28,10,10,0
939,28,11,15,19,28,19,19,3
940,8,1,21,25,31,25,21,0
941,5,17,20,21,29,20,20,0
942,2,2,10,14,23,2,2,1
943,2,6,14,15,21,15,15,1
944,1,4,14,22,23,22,22,0
945,3,13,16,23,27,13,13,0
946,14,14,22,29,31,22,22,0
947,7,8,10,26,31,26,26,0
948,20,19,22,28,31,28,28,4
949,30,3,4,14,17,4,4,0
950,19,1,5,16,17,5,5,0
951,23,17,25,26,28,17,17,0
952,10,0,2,4,10,0,4,0
953,31,4,13,14,30,14,14,4
954,10,10,13,18,24,10,10,3
955,23,4,5,12,15,5,5,0
956,29,3,19,22,29,29,29,0
957,12,0,6,21,29,21,21,0
958,15,1,6,8,12,1,1,3
959,30,9,13,17,21,9,9,3
960,18,4,11,22,30,11,11,0
961,1,1,4,19,24,24,24,4
962,8,10,13,23,24,13,13,0
963,26,2,8,19,30,8,19,0
964,24,4,9,11,29,11,11,0
965,2,18,23,25,27,23,23,1
966,10,2,6,22,26,2,26,0
967,10,2,6,22,26,2,26,0
968,5,7,12,28,29,29,29,0
969,16,0,9,21,29,21,21,4
970,20,14,23,29,30,14,14,0
971,27,6,11,19,29,19,19,3
972,24,4,18,27,28,28,28,4
973,5,6,13,16,22,6,16,0
974,19,0,2,8,29,8,8,0
975,13,0,4,6,11,0,4,0
976,16,5,6,16,18,18,18,0
977,15,6,7,9,10,9,9,1
978,26,5,6,14,15,14,14,0
979,19,12,16,21,27,21,21,0
980,21,4,6,17,20,17,17,1
981,6,4,22,24,29,22,22,0
982,17,4,5,15,28,5,28,4
983,16,12,17,18,24,18,18,0
984,28,1,3,6,7,7,7,0
985,1,1,13,26,29,13,13,0
986,31,1,11,21,25,11,11,0
987,9,6,10,11,16,16,16,1
988,0,2,14,17,29,14,14,0
989,27,0,9,12,19,19,19,0
990,12,9,22,26,30,26,26,1
991,27,0,5,19,21,19,19,0
992,13,13,15,21,28,15,21,0
993,1,9,22,27,30,30,22,0
994,6,15,18,26,28,28,28,0
995,26,1,9,12,16,1,1,0
996,13,0,3,14,22,0,0,0
997,6,12,20,25,28,25,25,0
998,31,7,9,26,30,7,30,4
999,27,1,6,16,21,16,16,3
