,0,1,2,3,4,5
0,-0.05555221810936928,-1.6207751035690308,-1.6763273477554321,11.0,12.0,12.0
1,0.11760976165533066,3.4023380279541016,3.5199477672576904,26.0,26.0,26.0
2,0.1305563598871231,3.7212424278259277,3.8517987728118896,29.0,27.0,28.0
3,0.05256021395325661,1.4801640510559082,1.5327242612838745,23.0,22.0,22.0
4,0.11782681196928024,3.7989940643310547,3.916820764541626,27.0,29.0,29.0
5,-0.012727176770567894,-0.7966837286949158,-0.8094109296798706,17.0,15.0,15.0
6,0.02726704254746437,0.6843109726905823,0.7115780115127563,20.0,19.0,19.0
7,-0.09373904019594193,-2.9410037994384766,-3.034742832183838,3.0,5.0,5.0
8,0.05221714451909065,1.6953669786453247,1.7475841045379639,22.0,24.0,24.0
9,0.20188352465629578,6.608765602111816,6.8106489181518555,31.0,31.0,31.0
10,0.016014624387025833,0.8679532408714294,0.8839678764343262,19.0,20.0,20.0
11,0.1224861666560173,3.724856376647949,3.8473424911499023,28.0,28.0,27.0
12,-0.07583396136760712,-2.709620714187622,-2.785454750061035,6.0,7.0,7.0
13,-0.07224658876657486,-2.991421699523926,-3.0636682510375977,7.0,4.0,4.0
14,-0.0583648681640625,-1.68891179561615,-1.7472766637802124,8.0,11.0,11.0
15,0.0976007953286171,2.687140464782715,2.784741163253784,25.0,25.0,25.0
16,-0.09659798443317413,-3.042163372039795,-3.138761281967163,2.0,3.0,3.0
17,-0.04253079742193222,-1.4911742210388184,-1.5337049961090088,14.0,14.0,14.0
18,0.034835025668144226,1.0348851680755615,1.0697201490402222,21.0,21.0,21.0
19,-0.0562891885638237,-1.8220701217651367,-1.878359317779541,9.0,8.0,8.0
20,0.08491691946983337,1.588370442390442,1.6732873916625977,24.0,23.0,23.0
21,0.008341263048350811,0.2014724165201187,0.2098136842250824,18.0,17.0,17.0
22,-0.08041384071111679,-3.0793545246124268,-3.1597683429718018,5.0,1.0,2.0
23,-0.02562950924038887,-0.618268609046936,-0.6438981294631958,15.0,16.0,16.0
24,-0.05155959352850914,-1.7002294063568115,-1.7517889738082886,12.0,9.0,9.0
25,-0.013597343116998672,0.2420399785041809,0.22844263911247253,16.0,18.0,18.0
26,-0.10528591275215149,-3.0853211879730225,-3.1906070709228516,0.0,0.0,0.0
27,-0.09073030948638916,-3.0713813304901123,-3.162111759185791,4.0,2.0,1.0
28,-0.10359371453523636,-2.7224810123443604,-2.8260748386383057,1.0,6.0,6.0
29,-0.056125953793525696,-1.6956053972244263,-1.7517313957214355,10.0,10.0,10.0
30,-0.04290369153022766,-1.5158330202102661,-1.5587366819381714,13.0,13.0,13.0
31,0.17573301494121552,4.841882228851318,5.01761531829834,30.0,30.0,30.0
